ID,release_type,site,branch,branchlettes,trunk,foliage,foam cover,long grass,ground,flax leaf
1,SR,1,0.692307692,0,0,0.307692308,0,0,0,0
2,SR,1,0.666666667,0,0,0.166666667,0.166666667,0,0,0
3,SR,1,0.708333333,0,0.041666667,0.083333333,0.166666667,0,0,0
4,SR,1,0.285714286,0,0,0.714285714,0,0,0,0
5,SR,1,0.45,0.05,0,0.5,0,0,0,0
6,SR,1,0.413793103,0.103448276,0,0.482758621,0,0,0,0
7,SR,1,0.5,0,0,0.25,0.25,0,0,0
8,SR,1,1,0,0,0,0,0,0,0
9,SR,1,0.888888889,0,0,0.111111111,0,0,0,0
10,SR,1,0.333333333,0,0,0.666666667,0,0,0,0
11,SR,1,0.6,0,0,0.1,0.3,0,0,0
12,SR,1,0.846153846,0.076923077,0,0.076923077,0,0,0,0
13,SR,1,0.545454545,0,0,0.409090909,0.045454545,0,0,0
14,SR,1,0.333333333,0,0,0.333333333,0,0,0.333333333,0
15,SR,1,0.75,0,0,0.25,0,0,0,0
16,SR,1,0.647058824,0.058823529,0,0.294117647,0,0,0,0
19,HR,1,1,0,0,0,0,0,0,0
20,HR,1,0.5,0,0,0.375,0,0.125,0,0
21,HR,1,0.2,0,0,0.133333333,0,0.666666667,0,0
22,HR,1,0.823529412,0,0,0.117647059,0,0.058823529,0,0
23,HR,1,0.375,0,0.25,0.25,0,0,0,0.125
24,HR,1,0.666666667,0,0.083333333,0.083333333,0.083333333,0.083333333,0,0
25,HR,1,0.2,0,0,0.2,0,0.4,0.2,0
26,HR,1,0.538461538,0.076923077,0.076923077,0.153846154,0.076923077,0,0.076923077,0
27,HR,1,0.75,0,0.0625,0.125,0,0.0625,0,0
